-65,-108,-30,86,-12,-66,4,-24,-113,-140,-108,-76
-64,-104,-31,82,-12,-64,6,-23,-98,-126,-109,-75
-58,-96,-30,75,-11,-61,9,-19,-81,-112,-103,-71
-53,-86,-29,68,-9,-57,11,-14,-64,-98,-97,-66
-46,-78,-28,60,-7,-52,14,-9,-44,-85,-92,-61
-38,-66,-26,51,-5,-46,18,-2,-26,-69,-85,-55
-29,-54,-23,41,-2,-38,22,5,-6,-53,-77,-47
-20,-42,-20,30,0,-31,25,14,13,-36,-68,-40
-12,-30,-17,20,2,-24,28,23,36,-20,-58,-32
-3,-17,-13,10,4,-15,31,32,55,-4,-49,-24
4,-5,-9,0,7,-7,34,41,70,11,-39,-16
12,6,-6,-9,9,0,37,50,87,27,-30,-8
21,18,-2,-19,11,7,40,59,108,44,-20,-1
29,30,0,-29,14,14,43,69,128,61,-11,5
37,41,3,-39,16,22,46,79,148,79,-1,12
45,52,7,-49,19,29,48,89,170,97,9,18
52,63,10,-58,21,36,51,101,189,115,20,25
60,74,13,-67,23,43,54,112,207,132,33,32
67,85,16,-76,25,50,56,124,224,150,45,39
74,94,18,-85,27,56,58,136,240,165,57,45
81,104,22,-93,29,63,60,147,253,178,69,51
88,114,25,-101,30,69,62,157,268,190,79,57
94,123,28,-109,31,75,64,165,281,200,89,63
99,132,31,-116,32,81,65,174,293,210,98,69
103,140,34,-121,33,86,66,181,304,219,105,74
108,147,37,-127,34,91,67,187,314,228,112,79
112,153,39,-133,34,96,67,194,323,237,119,83
116,159,41,-138,36,100,68,199,332,246,124,87
119,165,42,-142,37,103,70,205,340,254,130,90
123,168,43,-147,38,106,71,210,347,261,135,93
128,173,44,-150,40,108,72,213,355,268,139,95
131,176,44,-154,43,110,75,216,362,273,142,98
135,179,43,-158,45,112,77,217,367,277,143,100
137,182,43,-161,46,113,78,218,372,280,144,102
140,184,42,-163,47,114,79,218,375,283,145,103
141,186,43,-164,48,114,80,218,377,285,146,104
143,186,42,-164,49,114,81,218,379,287,145,104
143,186,42,-164,49,114,81,216,379,287,145,104
143,185,41,-164,49,113,82,216,378,288,145,104
143,184,40,-163,50,112,82,215,375,287,145,103
142,182,39,-162,51,110,82,216,372,285,146,101
141,179,36,-160,51,108,81,215,367,282,146,99
139,176,35,-157,50,105,81,215,361,278,145,96
137,173,34,-155,50,103,80,214,353,273,144,93
134,170,34,-152,48,101,78,212,343,267,143,91
130,166,34,-149,47,100,77,210,332,256,141,88
126,161,34,-144,45,98,74,207,318,247,139,87
121,156,34,-139,42,95,72,203,303,237,135,84
115,151,34,-133,40,92,69,199,288,224,131,81
109,144,34,-127,36,88,66,194,273,211,127,78
102,136,33,-119,33,84,63,189,257,196,122,74
94,128,31,-112,30,79,59,182,242,180,116,70
86,118,30,-102,27,73,55,176,227,164,110,64
77,107,28,-92,24,67,52,169,211,147,103,59
68,96,25,-82,21,60,48,161,195,130,96,52
59,83,23,-71,18,52,45,153,177,113,88,45
49,71,19,-60,14,44,42,144,159,96,79,38
39,57,16,-50,11,36,38,134,139,79,69,30
29,44,13,-37,7,27,34,123,122,62,58,22
19,29,9,-24,4,19,31,111,99,47,46,13
9,15,5,-12,1,10,27,100,75,29,34,5
-1,1,1,0,-1,0,23,86,52,11,22,-3
-12,-13,-2,12,-4,-8,19,71,26,-8,6,-12
-22,-28,-6,24,-6,-18,15,57,1,-29,-7,-21
-32,-42,-10,37,-9,-26,11,42,-21,-51,-22,-30
-41,-56,-13,48,-12,-35,7,27,-45,-71,-36,-39
-50,-69,-17,58,-15,-43,3,14,-67,-90,-49,-48
-58,-82,-21,68,-17,-51,0,2,-89,-108,-61,-57
-66,-92,-24,78,-19,-58,-1,-9,-109,-124,-73,-65
-73,-102,-27,87,-21,-65,-4,-21,-128,-138,-85,-72
-79,-111,-31,94,-23,-71,-6,-31,-143,-150,-95,-78
-85,-119,-34,101,-24,-77,-7,-41,-155,-159,-104,-84
-89,-126,-36,106,-25,-82,-8,-47,-164,-167,-111,-89
-92,-132,-39,111,-25,-86,-9,-53,-168,-172,-117,-93
-94,-136,-41,114,-25,-89,-9,-57,-174,-175,-121,-96
-96,-140,-42,117,-26,-91,-10,-60,-177,-176,-125,-97
-97,-141,-43,119,-25,-92,-9,-61,-179,-178,-126,-99
-98,-143,-44,120,-25,-94,-9,-63,-180,-178,-128,-100
-98,-144,-45,121,-25,-94,-9,-64,-181,-179,-129,-100
-98,-144,-45,121,-25,-95,-9,-64,-181,-178,-129,-100
-98,-144,-45,121,-25,-95,-9,-64,-181,-178,-129,-100
-98,-144,-45,121,-25,-95,-9,-64,-181,-177,-129,-100
-97,-144,-45,120,-25,-95,-9,-64,-181,-177,-128,-100
-97,-143,-45,120,-25,-94,-9,-64,-180,-176,-128,-100
-97,-143,-45,119,-25,-94,-9,-64,-180,-176,-128,-100
-96,-142,-45,119,-25,-94,-9,-64,-179,-176,-128,-100
-96,-142,-45,119,-25,-93,-9,-64,-179,-175,-127,-100
-96,-141,-44,118,-24,-93,-9,-64,-179,-175,-127,-100
-96,-141,-44,118,-24,-93,-9,-64,-178,-174,-127,-100
-95,-140,-44,118,-24,-92,-9,-64,-178,-174,-126,-100
-95,-140,-44,117,-24,-92,-9,-64,-177,-173,-126,-99
-95,-140,-44,117,-24,-92,-9,-63,-177,-172,-125,-99
-94,-139,-44,116,-24,-92,-9,-63,-176,-172,-125,-99
-94,-138,-44,116,-24,-91,-9,-63,-176,-171,-124,-98
-93,-138,-43,115,-24,-91,-9,-62,-175,-170,-123,-98
-93,-137,-43,114,-24,-90,-9,-62,-174,-170,-123,-97
-92,-136,-43,113,-23,-89,-9,-61,-173,-167,-121,-96
-91,-134,-42,112,-23,-89,-9,-60,-171,-165,-119,-96
-89,-132,-41,109,-23,-87,-8,-58,-168,-162,-116,-94
-87,-128,-40,107,-22,-84,-8,-55,-164,-157,-111,-92
-83,-123,-38,102,-21,-81,-7,-52,-158,-150,-105,-88
-79,-117,-36,96,-20,-76,-6,-48,-150,-143,-97,-84
-73,-109,-33,89,-18,-71,-4,-42,-142,-134,-89,-79
-66,-99,-30,81,-16,-64,-2,-36,-132,-124,-79,-73
-58,-87,-27,72,-14,-57,0,-30,-121,-113,-68,-67
-50,-74,-24,61,-12,-49,1,-23,-109,-102,-58,-59
-40,-62,-20,50,-9,-40,4,-15,-97,-92,-47,-51
-32,-48,-16,39,-7,-32,7,-7,-87,-82,-38,-43
-22,-35,-13,28,-4,-24,10,0,-77,-73,-29,-35
-14,-23,-9,18,-2,-17,13,7,-68,-65,-22,-27
-7,-13,-6,9,0,-10,16,14,-60,-59,-16,-20
0,-3,-4,1,1,-3,19,20,-54,-53,-10,-13
5,4,-2,-5,4,0,22,26,-49,-48,-5,-8
11,11,0,-11,5,4,25,30,-46,-44,-1,-4
15,17,0,-16,8,7,27,33,-43,-41,0,-1
19,19,0,-20,10,9,29,35,-41,-39,2,1
23,22,0,-23,11,11,31,36,-40,-38,4,3
25,24,0,-24,12,11,32,37,-40,-37,5,4
24,24,0,-25,12,11,32,37,-39,-37,5,4
24,23,0,-24,12,11,32,37,-39,-36,5,4
22,21,0,-22,11,10,31,36,-40,-37,5,4
19,18,0,-19,10,8,30,34,-40,-37,4,3
15,15,0,-15,8,6,27,32,-41,-39,3,1
10,10,-1,-11,5,3,25,29,-43,-40,1,0
4,4,-1,-5,2,0,22,26,-45,-42,0,-2
-1,-2,-2,1,0,-3,19,21,-48,-46,-3,-7
-8,-10,-4,8,-2,-7,15,16,-52,-50,-7,-12
-16,-20,-6,17,-5,-13,12,10,-57,-56,-13,-18
-24,-32,-8,27,-7,-20,9,3,-63,-63,-20,-24
-32,-44,-11,37,-10,-28,5,-4,-71,-72,-29,-33
-40,-55,-15,47,-12,-35,2,-11,-80,-81,-39,-41
-49,-68,-18,57,-14,-43,0,-19,-90,-92,-50,-49
-56,-79,-22,66,-16,-51,-1,-28,-100,-102,-60,-57
-63,-90,-26,76,-17,-58,-3,-35,-110,-113,-71,-65
-69,-100,-29,83,-18,-65,-5,-41,-120,-123,-81,-71
-74,-108,-32,90,-19,-70,-6,-46,-130,-132,-90,-77
-78,-115,-35,95,-20,-75,-7,-51,-138,-139,-98,-82
-81,-119,-37,99,-20,-79,-8,-54,-144,-145,-104,-85
-83,-123,-38,102,-21,-81,-8,-55,-149,-149,-108,-88
-84,-125,-39,104,-21,-82,-8,-57,-152,-152,-112,-89
-85,-127,-40,106,-21,-84,-9,-58,-154,-153,-113,-90
-86,-128,-40,107,-22,-84,-9,-59,-156,-155,-115,-90
-86,-128,-41,107,-22,-84,-9,-59,-157,-155,-115,-90
-86,-128,-41,107,-22,-84,-9,-59,-157,-155,-116,-90
-86,-128,-40,107,-22,-84,-9,-59,-157,-155,-116,-90
-86,-127,-40,107,-22,-84,-9,-59,-157,-155,-116,-90
-86,-127,-40,106,-22,-84,-9,-59,-157,-154,-116,-89
-86,-127,-40,106,-22,-84,-9,-59,-157,-154,-116,-89
-86,-127,-40,105,-22,-83,-9,-59,-157,-154,-116,-89
-86,-127,-40,105,-22,-84,-9,-59,-157,-154,-116,-89
-86,-127,-40,106,-22,-84,-9,-59,-158,-155,-117,-90
-87,-128,-40,107,-22,-84,-9,-59,-159,-156,-118,-90
-89,-130,-40,108,-23,-85,-9,-59,-160,-156,-120,-92
-91,-132,-40,111,-25,-86,-8,-59,-162,-158,-122,-95
-94,-135,-40,113,-27,-88,-7,-59,-164,-161,-127,-99
-98,-138,-39,117,-29,-89,-8,-60,-172,-164,-132,-104
-103,-142,-39,121,-32,-91,-6,-61,-170,-175,-137,-110
-109,-151,-38,129,-35,-95,0,-64,-183,-165,-150,-120
-120,-165,-37,142,-38,-101,7,-66,-190,-184,-146,-137
-134,-173,-43,155,-41,-111,19,-73,-209,-203,-153,-142
-148,-188,-44,159,-45,-123,34,-71,-225,-232,-181,-167
-149,-197,-38,173,-46,-122,54,-59,-196,-259,-213,-186
-175,-196,-28,185,-49,-108,75,-21,-137,-212,-235,-207
-167,-187,-19,176,-47,-103,104,28,-49,-129,-204,-184
-115,-140,-6,127,-41,-83,122,83,84,-72,-137,-117
-63,-46,35,55,-33,-14,129,126,245,77,-82,-54
-19,59,79,-19,-22,69,157,186,426,300,67,24
53,155,115,-104,-11,128,181,283,555,466,279,154
139,265,143,-201,2,195,197,356,643,583,392,291
214,412,197,-313,14,304,204,382,775,728,494,404
286,551,264,-419,26,407,201,408,919,952,673,499
369,661,292,-514,41,476,183,428,1007,1098,830,612
451,784,332,-618,52,558,110,367,987,1129,943,718
508,887,378,-697,60,632,-8,191,854,1136,1000,766
528,901,369,-715,63,636,-119,26,668,1026,975,802
508,838,324,-672,63,584,-224,-111,391,769,885,773
454,743,274,-598,62,516,-331,-322,65,602,746,658
385,631,222,-507,59,439,-442,-516,-159,487,608,602
309,494,169,-401,53,339,-537,-699,-351,295,509,529
241,374,122,-308,46,254,-618,-972,-618,81,419,376
176,272,74,-224,37,184,-731,-1178,-897,-82,228,289
90,139,17,-116,27,93,-817,-1275,-1077,-222,-3,194
23,4,-47,-15,18,-9,-785,-1267,-1081,-366,-100,25
-19,-98,-91,53,9,-95,-678,-1164,-963,-490,-156,-76
-80,-167,-77,115,0,-136,-553,-1005,-839,-534,-234,-113
-132,-204,-69,168,-8,-143,-404,-818,-706,-489,-236,-137
-131,-213,-64,178,-15,-136,-274,-620,-533,-415,-220,-148
-117,-194,-61,155,-19,-120,-196,-445,-378,-359,-187,-120
-109,-174,-61,142,-19,-115,-116,-288,-284,-285,-174,-112
-107,-169,-61,137,-22,-114,-34,-180,-224,-223,-168,-114
-107,-166,-58,135,-22,-112,0,-105,-187,-177,-159,-115
-104,-161,-57,132,-22,-109,7,-65,-173,-168,-152,-113
-101,-156,-54,128,-22,-106,-7,-43,-185,-173,-145,-112
-99,-150,-53,123,-22,-102,-10,-32,-176,-183,-140,-109
-96,-147,-51,120,-21,-99,-7,-45,-166,-176,-136,-107
-94,-144,-50,118,-21,-97,-2,-45,-158,-170,-134,-105
-92,-142,-49,116,-21,-95,1,-41,-153,-165,-131,-104
-91,-140,-48,115,-20,-94,3,-36,-148,-162,-129,-103
-90,-138,-47,114,-20,-93,4,-33,-146,-160,-128,-102
-89,-137,-47,113,-20,-92,4,-31,-144,-159,-127,-101
-89,-137,-47,112,-20,-92,5,-30,-143,-158,-126,-101
-88,-136,-47,112,-19,-91,5,-30,-143,-158,-126,-101
-88,-136,-47,112,-19,-91,5,-30,-142,-157,-125,-100
-87,-135,-47,111,-19,-91,5,-30,-142,-157,-125,-100
-87,-135,-46,111,-19,-91,5,-30,-141,-156,-124,-99
-87,-134,-46,110,-19,-90,5,-29,-140,-156,-124,-99
-86,-133,-46,110,-19,-90,5,-29,-140,-155,-123,-99
-86,-132,-46,109,-19,-89,5,-29,-138,-154,-123,-98
-85,-132,-45,108,-19,-88,5,-29,-136,-153,-122,-97
-83,-130,-45,106,-18,-87,4,-28,-132,-151,-121,-96
-82,-127,-44,104,-18,-86,4,-27,-127,-148,-120,-95
-80,-124,-43,101,-17,-84,5,-26,-120,-144,-118,-93
-77,-120,-41,97,-17,-81,6,-25,-113,-139,-117,-91
-73,-115,-39,93,-16,-77,7,-23,-102,-132,-115,-88
-69,-108,-37,88,-14,-73,8,-19,-91,-123,-111,-84
-63,-100,-35,81,-13,-68,10,-15,-77,-113,-107,-80
-57,-91,-32,73,-11,-62,13,-10,-62,-101,-102,-74
-50,-81,-29,65,-9,-56,15,-4,-46,-88,-96,-69
-43,-70,-26,55,-7,-49,18,1,-28,-74,-89,-62
-35,-59,-23,45,-4,-41,22,9,-10,-58,-82,-56
