14,0,-14,-8,14,-6,77,141,141,30,-44,-39
35,31,-6,-33,19,12,84,167,195,75,-16,-18
54,60,0,-58,24,29,90,193,245,119,11,0
72,84,7,-79,29,45,95,216,289,158,36,16
87,107,13,-97,34,59,100,238,329,190,56,30
101,126,18,-114,37,70,104,254,365,219,72,42
112,141,21,-127,40,79,106,267,392,240,84,50
119,151,23,-136,42,85,108,275,409,255,93,55
123,156,24,-140,44,87,109,280,416,264,100,58
122,156,24,-139,43,86,108,282,411,265,103,58
117,149,22,-133,41,81,106,279,397,256,104,55
107,134,19,-121,38,74,103,272,373,238,99,50
92,114,14,-104,34,62,98,260,338,210,87,41
74,90,9,-83,28,48,91,243,293,173,71,29
52,61,3,-57,22,31,85,221,238,129,50,15
29,29,-3,-30,15,12,78,196,180,79,26,-1
6,-3,-10,-2,8,-7,69,168,120,28,0,-18
-16,-38,-18,26,1,-26,62,139,62,-22,-28,-36
-38,-68,-25,52,-4,-44,55,109,6,-69,-57,-53
-56,-93,-31,73,-9,-60,49,83,-39,-108,-83,-70
-68,-112,-37,89,-13,-72,44,62,-73,-134,-102,-83
-78,-125,-42,100,-16,-82,40,48,-92,-149,-117,-95
-84,-134,-46,108,-17,-89,37,38,-102,-156,-127,-103
-89,-140,-50,114,-19,-94,35,31,-109,-163,-134,-109
-93,-146,-51,118,-20,-98,33,26,-114,-167,-141,-113
-95,-149,-53,122,-20,-101,32,22,-120,-171,-145,-116
-96,-152,-53,123,-20,-102,32,19,-124,-173,-147,-117
-97,-152,-54,124,-21,-102,32,17,-126,-174,-150,-118
-97,-152,-53,123,-21,-103,31,17,-127,-174,-150,-119
-96,-150,-52,123,-20,-101,31,16,-126,-174,-149,-119
-95,-149,-52,121,-20,-99,30,16,-126,-173,-148,-120
-93,-145,-50,118,-20,-96,30,17,-125,-171,-145,-119
-88,-139,-47,113,-19,-92,30,20,-120,-166,-141,-118
-82,-129,-44,105,-17,-85,32,25,-111,-158,-134,-113
-74,-115,-40,94,-15,-77,34,33,-100,-147,-124,-105
-64,-102,-36,82,-12,-68,36,41,-88,-135,-113,-97
-54,-87,-32,69,-10,-59,40,49,-75,-124,-101,-88
-41,-68,-28,54,-7,-49,44,60,-59,-108,-86,-77
-27,-45,-23,35,-4,-36,48,73,-40,-91,-69,-65
-14,-24,-20,18,-1,-26,52,83,-24,-76,-52,-52
