0,-62,-17,50,-10,-39,0,-17,-69,-75,-59,-44
-43,-65,-19,52,-10,-42,0,-19,-72,-79,-61,-47
-45,-67,-20,55,-11,-44,0,-20,-75,-81,-63,-49
-46,-69,-21,57,-12,-45,0,-21,-78,-83,-64,-50
-47,-70,-22,58,-12,-46,0,-21,-79,-84,-65,-51
-47,-71,-22,59,-12,-47,0,-21,-80,-85,-66,-51
-47,-72,-22,59,-12,-47,0,-21,-81,-86,-66,-51
-47,-72,-23,59,-12,-47,0,-21,-81,-86,-66,-51
-47,-72,-23,59,-12,-47,0,-21,-81,-86,-66,-51
-47,-71,-22,59,-12,-47,0,-21,-80,-85,-65,-50
-47,-71,-22,59,-12,-46,0,-20,-80,-84,-65,-50
-46,-71,-22,58,-12,-46,0,-20,-80,-84,-65,-49
-45,-70,-22,57,-12,-45,0,-19,-78,-83,-64,-49
-45,-68,-21,55,-11,-44,0,-19,-76,-81,-64,-48
-43,-66,-20,53,-11,-43,0,-18,-72,-78,-63,-47
-41,-63,-19,51,-10,-41,0,-18,-66,-76,-62,-46
-38,-60,-18,48,-10,-38,1,-16,-59,-71,-61,-43
-34,-55,-17,44,-8,-35,2,-14,-50,-65,-59,-40
-30,-49,-15,39,-7,-31,4,-11,-38,-57,-56,-37
-25,-42,-13,33,-5,-27,6,-8,-24,-47,-52,-33
-19,-34,-11,26,-4,-21,8,-3,-8,-35,-47,-29
-12,-24,-9,18,-1,-15,11,2,9,-22,-42,-23
-5,-14,-7,8,0,-9,14,8,26,-8,-36,-17
3,-2,-4,-1,2,-2,17,15,45,6,-29,-10
11,8,-1,-10,5,4,21,24,64,21,-20,-2
20,20,1,-21,7,11,25,32,85,37,-10,4
29,33,5,-31,10,19,28,42,111,52,-1,12
37,45,8,-42,12,27,32,51,127,68,8,20
46,58,12,-52,15,35,35,61,140,84,18,28
54,70,15,-63,17,42,38,70,160,101,28,36
62,81,18,-73,20,49,41,80,181,119,37,43
71,93,21,-82,23,57,44,90,201,138,46,51
79,103,24,-92,25,63,47,100,223,156,56,58
86,114,27,-101,28,70,50,111,246,175,67,65
94,124,29,-110,30,77,52,123,266,193,78,71
101,134,32,-119,33,84,55,134,279,209,90,78
108,144,35,-127,35,90,57,145,293,223,103,84
115,154,38,-135,36,96,59,156,307,237,115,91
121,164,42,-143,38,103,61,166,320,249,126,97
127,173,45,-151,39,109,63,176,333,261,137,103
